"Subject","Early","Late","Rate","RT","Adaptation","Explicit","Implicit","Total"
"AB1",0.162756639199691,0.0434044666384721,-1.06342790655716,-0.919818887568886,2.74266561348599,19.3547933975491,-17.0281821172807,0.119352172561219
"AG1",0.644564112217796,0.224046471546846,-2.61960478842443,-0.848476582909782,-13.7394945516319,0,-13.7394945516319,0.42051764067095
"AH1",0.696947816760745,0.328548819319752,-1.34859321201726,-1.17991895139439,-23.5797058667392,0,-23.5797058667392,0.368398997440993
"AM1",0.0816198472437184,0.0546687699457035,-0.897983330845048,-0.951650731518192,0.444525537838302,0,0.444525537838302,0.0269510772980148
"AP1",0.00787677827953411,-0.33734211871589,-1.78113270876073,-0.780611307910726,20.176054012697,36.8954367564313,0.713830244873021,0.345218896995425
"AV1",0.194520580690003,0.0139992099376683,-1.59505747747969,-1.03348068042914,3.09858555437946,26.9122378906191,-15.9976361502818,0.180521370752335
"BN1",0.268778836329375,0.378092331129666,-0.92854887563429,-1.02941877133751,-10.4994781626519,0,-10.4994781626519,-0.109313494800291
"CD1",0.381966631024743,0.0731266817170439,0.434234468411662,-1.1244350110906,-2.21021829591575,28.2171292246379,-30.4256858857857,0.308839949307699
"CG1",0.343383296910177,0.0525137927957149,-1.8763632262621,-0.693672052929695,-27.0782582029216,-3.6591369851423,-4.08307320292155,0.290869504114462
"CH1",0.614465734273256,0.0746617926837349,-2.46474063763127,-0.720381274799389,-2.39304536064015,45.1386067651272,-46.1450427104534,0.539803941589521
"CK1",0.319874150081184,0.0575565572191166,-1.39948553913238,-0.876905309204084,-10.711310554291,21.6200559536867,-27.1903443048757,0.262317592862068
"CM1",0.563518410413468,0.21142682892756,-1.39797854924968,-0.944455823645321,-11.5948422336304,0,-11.5948422336304,0.352091581485908
"CM2",0.0770600251002578,-0.0605743637674527,-0.650568700810903,-0.898872823195744,6.37944748341832,42.0867519670344,-35.6677255866783,0.13763438886771
"CS1",0.0559878184726009,-0.00113026538191529,-0.689502560758425,-0.96176659719878,-0.856632740358626,21.8940188661678,-15.0560795360854,0.0571180838545162
"EH1",0.512537453463148,0.390358446021241,-2.82893056854952,-0.928209948404804,-17.4079958580787,3.88577231938785,-19.9937823494469,0.122179007441907
"EK1",0.174080627139007,0.145501208737352,-0.667415795473891,-1.00102425561545,-22.3951624448611,-14.1031892806408,-16.548290874613,0.0285794184016556
"HK1",0.537187299563699,0.0604963719225543,-3.49391145806283,-0.898059629633527,-13.7438239658754,17.0027596929665,-23.6295318400096,0.476690927641145
"HS1",0.686983463109301,0.105131863021505,-2.57886951367269,-0.96863620178065,-13.3581964427172,13.9570896129298,-35.3621440198845,0.581851600087796
"JC1",0.163722568927196,0.0392597140847995,-1.37041433505884,-0.922203711509694,-18.8055619931406,0,-18.8055619931406,0.124462854842396
"JH1",0.143968237793819,0.129764364472668,-0.497093809777513,-1.30565999715283,7.21279607446554,32.5539308681644,-16.4691983868819,0.0142038733211515
"JM1",0.57977333496025,0.174383675925144,-0.295101397645729,-0.793454303210846,-11.2648664217481,17.7260601575768,-28.0602352669738,0.405389659035105
"JR1",0.353603102966915,0.109140978297958,-0.443246640260602,-1.03501370983412,-15.4921084240332,0,-15.4921084240332,0.244462124668957
"KK1",0.488659057534068,0.123160568648042,-1.09587594713423,-1.16905848655973,-12.9597102963191,10.7990804918462,-21.0299432934697,0.365498488886026
"KP1",0.153386403025287,0.0415934988705652,-2.07529578560244,-0.957004726774,-15.9741284107289,17.8266451234344,-34.0550901698261,0.111792904154722
"KR1",0.495398718633376,0.0954195149038915,-1.62387304901325,-0.886840729640739,-9.37954635307068,0,-9.37954635307068,0.399979203729484
"LB1",0.529696648114724,0.363597891602716,-1.21831785820914,-0.927587159485668,-18.5434842497886,20.9395641975403,-40.6962270997198,0.166098756512008
"MB1",0.162154455698062,0.0265464259315648,-1.02733142095276,-0.886752864370678,6.61889072738625,14.4895416064441,-7.89846360398696,0.135608029766497
"MG1",0.0884818604245979,0.036087172226382,-0.100162127963647,-0.735020129129485,-2.43285699470174,19.034930042673,-21.6320771657369,0.0523946881982159
"MP1",0.650140102098436,0.136766957831337,-1.63900676156496,-0.786744615668561,-21.0991587904599,0,-21.0991587904599,0.513373144267099
"NW1",0.428002719507081,0.0697925161627114,-1.2489674470352,-0.955393610322901,-24.6003510692726,0,-24.6003510692726,0.358210203344369
"SK1",0.703164075551699,0.153862279743558,-1.66201046513943,-0.899263140827025,0.899235242160361,36.9271181011561,-36.0968567208826,0.549301795808141
"SM2",0.53306214472044,0.108924110808628,-1.8488247653909,-1.03844061020324,-23.3757377421643,-0.672712431283265,-22.034323305658,0.424138033911812
"SR1",0.0806997899156399,-0.0597658985446578,-0.725059398239323,-1.00820218725192,-3.35963116397436,20.3913187002552,-23.9552559403416,0.140465688460298
"UP1",0.142320970866542,0.26870773963,-1.92672371521339,-0.645351205049858,-9.96397554884613,13.8981484997782,-23.749853026137,-0.126386768763457
"WK1",0.421957946175305,0.125152700108221,-2.25101841131972,-0.939007780529359,0.757767288280155,33.4532241153553,-32.6896443236101,0.296805246067084
"ZN1",0.219212281560693,0.297158660184956,-0.514238613673257,-0.911337423399557,-6.25690593066153,-0.0559349803234444,-6.08411828646818,-0.0779463786242623
